x,y,z,nx,ny,nz,u,v
1.04064997,2.75000000,0.29412883,-0.511796,0.114662,0.851421,0.073680,0.550000
1.13013850,3.00000000,0.31425308,-0.513938,0.115543,0.850011,0.073680,0.600000
1.21962702,3.25000000,0.33437733,-0.516234,0.116487,0.848489,0.073680,0.650000
1.30911554,3.50000000,0.35450159,-0.518701,0.117503,0.846843,0.073680,0.700000
1.39860407,3.75000000,0.37462584,-0.521359,0.118598,0.845056,0.073680,0.750000
1.48809259,4.00000000,0.39475010,-0.524231,0.119783,0.843110,0.073680,0.800000
1.57758111,4.25000000,0.41487435,-0.527344,0.121068,0.840982,0.073680,0.850000
1.66706964,4.50000000,0.43499860,-0.530728,0.122468,0.838647,0.073680,0.900000
1.75655816,4.75000000,0.45512286,-0.534422,0.123997,0.836073,0.073680,0.950000
1.84604668,5.00000000,0.47524711,-0.538469,0.125675,0.833221,0.073680,1.000000
0.08574029,0.00000000,0.08753909,-0.401351,0.070148,0.913234,0.095492,0.000000
0.17447187,0.25000000,0.10733196,-0.402563,0.070623,0.912664,0.095492,0.050000
0.26320345,0.50000000,0.12712483,-0.403837,0.071123,0.912062,0.095492,0.100000
0.35193503,0.75000000,0.14691770,-0.405180,0.071650,0.911425,0.095492,0.150000
0.44066660,1.00000000,0.16671058,-0.406596,0.072206,0.910750,0.095492,0.200000
0.52939818,1.25000000,0.18650345,-0.408091,0.072794,0.910034,0.095492,0.250000
0.61812976,1.50000000,0.20629632,-0.409674,0.073415,0.909273,0.095492,0.300000
0.70686134,1.75000000,0.22608919,-0.411350,0.074075,0.908463,0.095492,0.350000
0.79559291,2.00000000,0.24588206,-0.413129,0.074775,0.907597,0.095492,0.400000
0.88432449,2.25000000,0.26567494,-0.415021,0.075519,0.906672,0.095492,0.450000
0.97305607,2.50000000,0.28546781,-0.417037,0.076313,0.905680,0.095492,0.500000
1.06178765,2.75000000,0.30526068,-0.419189,0.077162,0.904614,0.095492,0.550000
1.15051922,3.00000000,0.32505355,-0.421492,0.078070,0.903465,0.095492,0.600000
1.23925080,3.25000000,0.34484642,-0.423961,0.079044,0.902225,0.095492,0.650000
1.32798238,3.50000000,0.36463930,-0.426616,0.080093,0.900880,0.095492,0.700000
1.41671396,3.75000000,0.38443217,-0.429477,0.081225,0.899418,0.095492,0.750000
1.50544554,4.00000000,0.40422504,-0.432571,0.082449,0.897822,0.095492,0.800000
1.59417711,4.25000000,0.42401791,-0.435926,0.083778,0.896074,0.095492,0.850000
1.68290869,4.50000000,0.44381078,-0.439577,0.085226,0.894152,0.095492,0.900000
1.77164027,4.75000000,0.46360366,-0.443565,0.086810,0.892028,0.095492,0.950000
1.86037185,5.00000000,0.48339653,-0.447937,0.088548,0.889669,0.095492,1.000000
0.12253679,0.00000000,0.10156199,-0.312929,0.035899,0.949098,0.119797,0.000000
0.21032885,0.25000000,0.12105195,-0.314197,0.036379,0.948661,0.119797,0.050000
0.29812091,0.50000000,0.14054192,-0.315531,0.036883,0.948198,0.119797,0.100000
0.38591296,0.75000000,0.16003188,-0.316936,0.037415,0.947709,0.119797,0.150000
0.47370502,1.00000000,0.17952184,-0.318419,0.037976,0.947189,0.119797,0.200000
0.56149708,1.25000000,0.19901181,-0.319986,0.038569,0.946637,0.119797,0.250000
0.64928913,1.50000000,0.21850177,-0.321643,0.039197,0.946049,0.119797,0.300000
0.73708119,1.75000000,0.23799173,-0.323400,0.039863,0.945422,0.119797,0.350000
0.82487325,2.00000000,0.25748170,-0.325265,0.040570,0.944752,0.119797,0.400000
0.91266530,2.25000000,0.27697166,-0.327249,0.041323,0.944034,0.119797,0.450000
1.00045736,2.50000000,0.29646162,-0.329364,0.042125,0.943263,0.119797,0.500000
1.08824942,2.75000000,0.31595159,-0.331622,0.042983,0.942433,0.119797,0.550000
1.17604147,3.00000000,0.33544155,-0.334038,0.043902,0.941536,0.119797,0.600000
1.26383353,3.25000000,0.35493151,-0.336631,0.044888,0.940566,0.119797,0.650000
1.35162559,3.50000000,0.37442148,-0.339420,0.045949,0.939512,0.119797,0.700000
1.43941765,3.75000000,0.39391144,-0.342428,0.047095,0.938363,0.119797,0.750000
1.52720970,4.00000000,0.41340140,-0.345682,0.048336,0.937106,0.119797,0.800000
1.61500176,4.25000000,0.43289137,-0.349212,0.049683,0.935726,0.119797,0.850000
1.70279382,4.50000000,0.45238133,-0.353056,0.051152,0.934203,0.119797,0.900000
1.79058587,4.75000000,0.47187130,-0.357257,0.052759,0.932515,0.119797,0.950000
1.87837793,5.00000000,0.49136126,-0.361867,0.054524,0.930634,0.119797,1.000000
0.16666949,0.00000000,0.11395369,-0.230381,0.004990,0.973088,0.146447,0.000000
0.25334051,0.25000000,0.13319118,-0.231686,0.005467,0.972775,0.146447,0.050000
0.34001152,0.50000000,0.15242867,-0.233059,0.005968,0.972444,0.146447,0.100000
0.42668253,0.75000000,0.17166616,-0.234506,0.006497,0.972093,0.146447,0.150000
0.51335355,1.00000000,0.19090365,-0.236033,0.007055,0.971719,0.146447,0.200000
0.60002456,1.25000000,0.21014114,-0.237647,0.007645,0.971322,0.146447,0.250000
0.68669558,1.50000000,0.22937863,-0.239355,0.008270,0.970897,0.146447,0.300000
0.77336659,1.75000000,0.24861612,-0.241165,0.008933,0.970443,0.146447,0.350000
0.86003760,2.00000000,0.26785361,-0.243088,0.009637,0.969956,0.146447,0.400000
0.94670862,2.25000000,0.28709110,-0.245133,0.010386,0.969434,0.146447,0.450000
1.03337963,2.50000000,0.30632859,-0.247314,0.011185,0.968871,0.146447,0.500000
1.12005065,2.75000000,0.32556608,-0.249644,0.012040,0.968263,0.146447,0.550000
1.20672166,3.00000000,0.34480357,-0.252138,0.012955,0.967605,0.146447,0.600000
1.29339267,3.25000000,0.36404106,-0.254815,0.013938,0.966889,0.146447,0.650000
1.38006369,3.50000000,0.38327855,-0.257695,0.014997,0.966110,0.146447,0.700000
1.46673470,3.75000000,0.40251604,-0.260803,0.016140,0.965257,0.146447,0.750000
1.55340572,4.00000000,0.42175352,-0.264166,0.017378,0.964321,0.146447,0.800000
1.64007673,4.25000000,0.44099101,-0.267816,0.018723,0.963288,0.146447,0.850000
1.72674774,4.50000000,0.46022850,-0.271794,0.020190,0.962144,0.146447,0.900000
1.81341876,4.75000000,0.47946599,-0.276143,0.021795,0.960870,0.146447,0.950000
1.90008977,5.00000000,0.49870348,-0.280918,0.023561,0.959443,0.146447,1.000000
0.21787864,0.00000000,0.12392379,-0.154590,-0.022491,0.987723,0.175276,0.000000
0.30325463,0.25000000,0.14297869,-0.155917,-0.022022,0.987525,0.175276,0.050000
0.38863061,0.50000000,0.16203359,-0.157314,-0.021529,0.987314,0.175276,0.100000
0.47400660,0.75000000,0.18108848,-0.158786,-0.021010,0.987090,0.175276,0.150000
0.55938258,1.00000000,0.20014338,-0.160339,-0.020461,0.986850,0.175276,0.200000
0.64475857,1.25000000,0.21919828,-0.161981,-0.019881,0.986594,0.175276,0.250000
0.73013456,1.50000000,0.23825318,-0.163719,-0.019266,0.986319,0.175276,0.300000
0.81551054,1.75000000,0.25730807,-0.165561,-0.018614,0.986024,0.175276,0.350000
0.90088653,2.00000000,0.27636297,-0.167519,-0.017922,0.985706,0.175276,0.400000
0.98626251,2.25000000,0.29541787,-0.169602,-0.017184,0.985363,0.175276,0.450000
1.07163850,2.50000000,0.31447277,-0.171823,-0.016397,0.984991,0.175276,0.500000
1.15701449,2.75000000,0.33352766,-0.174197,-0.015556,0.984588,0.175276,0.550000
1.24239047,3.00000000,0.35258256,-0.176739,-0.014654,0.984149,0.175276,0.600000
1.32776646,3.25000000,0.37163746,-0.179467,-0.013686,0.983669,0.175276,0.650000
1.41314244,3.50000000,0.39069236,-0.182405,-0.012643,0.983142,0.175276,0.700000
1.49851843,3.75000000,0.40974725,-0.185575,-0.011516,0.982563,0.175276,0.750000
1.58389441,4.00000000,0.42880215,-0.189006,-0.010295,0.981922,0.175276,0.800000
1.66927040,4.25000000,0.44785705,-0.192734,-0.008968,0.981210,0.175276,0.850000
1.75464639,4.50000000,0.46691195,-0.196796,-0.007520,0.980416,0.175276,0.900000
1.84002237,4.75000000,0.48596684,-0.201240,-0.005935,0.979524,0.175276,0.950000
1.92539836,5.00000000,0.50502174,-0.206122,-0.004191,0.978517,0.175276,1.000000
0.27564218,0.00000000,0.13092101,-0.088650,-0.045685,0.995015,0.206107,0.000000
0.35956294,0.25000000,0.14987631,-0.089987,-0.045229,0.994915,0.206107,0.050000
0.44348371,0.50000000,0.16883162,-0.091394,-0.044748,0.994809,0.206107,0.100000
0.52740447,0.75000000,0.18778692,-0.092878,-0.044241,0.994694,0.206107,0.150000
0.61132523,1.00000000,0.20674223,-0.094444,-0.043706,0.994570,0.206107,0.200000
0.69524600,1.25000000,0.22569753,-0.096099,-0.043141,0.994436,0.206107,0.250000
0.77916676,1.50000000,0.24465284,-0.097851,-0.042541,0.994291,0.206107,0.300000
0.86308752,1.75000000,0.26360814,-0.099710,-0.041906,0.994134,0.206107,0.350000
0.94700829,2.00000000,0.28256345,-0.101684,-0.041230,0.993962,0.206107,0.400000
1.03092905,2.25000000,0.30151875,-0.103786,-0.040510,0.993774,0.206107,0.450000
1.11484981,2.50000000,0.32047406,-0.106027,-0.039742,0.993569,0.206107,0.500000
1.19877058,2.75000000,0.33942936,-0.108422,-0.038921,0.993343,0.206107,0.550000
1.28269134,3.00000000,0.35838467,-0.110988,-0.038041,0.993093,0.206107,0.600000
1.36661210,3.25000000,0.37733997,-0.113744,-0.037095,0.992817,0.206107,0.650000
1.45053287,3.50000000,0.39629528,-0.116711,-0.036076,0.992511,0.206107,0.700000
1.53445363,3.75000000,0.41525058,-0.119913,-0.034975,0.992168,0.206107,0.750000
1.61837439,4.00000000,0.43420589,-0.123382,-0.033781,0.991784,0.206107,0.800000
1.70229516,4.25000000,0.45316119,-0.127150,-0.032484,0.991352,0.206107,0.850000
1.78621592,4.50000000,0.47211650,-0.131258,-0.031067,0.990861,0.206107,0.900000
1.87013668,4.75000000,0.49107180,-0.135754,-0.029516,0.990303,0.206107,0.950000
1.95405744,5.00000000,0.51002711,-0.140696,-0.027808,0.989662,0.206107,1.000000
0.33917221,0.00000000,0.13480260,-0.036319,-0.063602,0.997314,0.238751,0.000000
0.42149746,0.25000000,0.15374386,-0.037658,-0.063159,0.997293,0.238751,0.050000
0.50382272,0.50000000,0.17268511,-0.039068,-0.062693,0.997268,0.238751,0.100000
0.58614798,0.75000000,0.19162637,-0.040555,-0.062201,0.997239,0.238751,0.150000
0.66847324,1.00000000,0.21056762,-0.042124,-0.061682,0.997207,0.238751,0.200000
0.75079849,1.25000000,0.22950888,-0.043782,-0.061133,0.997169,0.238751,0.250000
0.83312375,1.50000000,0.24845013,-0.045539,-0.060551,0.997126,0.238751,0.300000
0.91544901,1.75000000,0.26739139,-0.047402,-0.059934,0.997076,0.238751,0.350000
0.99777427,2.00000000,0.28633264,-0.049381,-0.059278,0.997019,0.238751,0.400000
1.08009952,2.25000000,0.30527390,-0.051488,-0.058579,0.996954,0.238751,0.450000
1.16242478,2.50000000,0.32421515,-0.053736,-0.057833,0.996879,0.238751,0.500000
1.24475004,2.75000000,0.34315641,-0.056139,-0.057035,0.996793,0.238751,0.550000
1.32707529,3.00000000,0.36209766,-0.058713,-0.056180,0.996693,0.238751,0.600000
1.40940055,3.25000000,0.38103892,-0.061478,-0.055261,0.996577,0.238751,0.650000
1.49172581,3.50000000,0.39998017,-0.064455,-0.054271,0.996444,0.238751,0.700000
1.57405107,3.75000000,0.41892143,-0.067670,-0.053200,0.996288,0.238751,0.750000
1.65637632,4.00000000,0.43786268,-0.071152,-0.052040,0.996107,0.238751,0.800000
1.73870158,4.25000000,0.45680393,-0.074936,-0.050777,0.995895,0.238751,0.850000
1.82102684,4.50000000,0.47574519,-0.079063,-0.049399,0.995645,0.238751,0.900000
1.90335209,4.75000000,0.49468644,-0.083582,-0.047889,0.995350,0.238751,0.950000
1.98567735,5.00000000,0.51362770,-0.088549,-0.046227,0.994999,0.238751,1.000000
0.40760013,0.00000000,0.13593893,-0.000151,-0.075742,0.997127,0.273005,0.000000
0.48821085,0.25000000,0.15494127,-0.001489,-0.075313,0.997159,0.273005,0.050000
0.56882158,0.50000000,0.17394361,-0.002898,-0.074861,0.997190,0.273005,0.100000
0.64943231,0.75000000,0.19294595,-0.004383,-0.074385,0.997220,0.273005,0.150000
0.73004304,1.00000000,0.21194828,-0.005951,-0.073881,0.997249,0.273005,0.200000
0.81065377,1.25000000,0.23095062,-0.007608,-0.073349,0.997277,0.273005,0.250000
0.89126449,1.50000000,0.24995296,-0.009364,-0.072785,0.997304,0.273005,0.300000
0.97187522,1.75000000,0.26895530,-0.011226,-0.072187,0.997328,0.273005,0.350000
1.05248595,2.00000000,0.28795764,-0.013205,-0.071550,0.997350,0.273005,0.400000
1.13309668,2.25000000,0.30695998,-0.015311,-0.070872,0.997368,0.273005,0.450000
1.21370741,2.50000000,0.32596232,-0.017558,-0.070149,0.997382,0.273005,0.500000
1.29431813,2.75000000,0.34496465,-0.019961,-0.069375,0.997391,0.273005,0.550000
1.37492886,3.00000000,0.36396699,-0.022535,-0.068545,0.997393,0.273005,0.600000
1.45553959,3.25000000,0.38296933,-0.025300,-0.067653,0.997388,0.273005,0.650000
1.53615032,3.50000000,0.40197167,-0.028279,-0.066691,0.997373,0.273005,0.700000
1.61676105,3.75000000,0.42097401,-0.031495,-0.065652,0.997345,0.273005,0.750000
1.69737177,4.00000000,0.43997635,-0.034979,-0.064525,0.997303,0.273005,0.800000
1.77798250,4.25000000,0.45897869,-0.038767,-0.063300,0.997241,0.273005,0.850000
1.85859323,4.50000000,0.47798103,-0.042898,-0.061961,0.997156,0.273005,0.900000
1.93920396,4.75000000,0.49698336,-0.047421,-0.060494,0.997041,0.273005,0.950000
